"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"/home/goolnn/工程/Cangyan/README.md", "Markdown", 0, 1, 0, 0, 1
"/home/goolnn/工程/Cangyan/include/tool/BezierCurve.hpp", "C++", 26, 0, 0, 14, 40
"/home/goolnn/工程/Cangyan/include/tool/Byte.hpp", "C++", 4, 0, 0, 3, 7
"/home/goolnn/工程/Cangyan/include/tool/CYFile.hpp", "C++", 28, 0, 2, 14, 44
"/home/goolnn/工程/Cangyan/include/tool/Math.hpp", "C++", 7, 0, 0, 4, 11
"/home/goolnn/工程/Cangyan/include/tool/Text.hpp", "C++", 16, 0, 0, 10, 26
"/home/goolnn/工程/Cangyan/include/window/Editor.hpp", "C++", 39, 0, 0, 18, 57
"/home/goolnn/工程/Cangyan/include/window/ImageViewer.hpp", "C++", 58, 0, 5, 30, 93
"/home/goolnn/工程/Cangyan/include/window/Loading.hpp", "C++", 9, 0, 0, 5, 14
"/home/goolnn/工程/Cangyan/include/window/New.hpp", "C++", 36, 0, 0, 12, 48
"/home/goolnn/工程/Cangyan/include/window/Window.hpp", "C++", 48, 0, 0, 21, 69
"/home/goolnn/工程/Cangyan/src/Cangyan.cpp", "C++", 15, 0, 3, 8, 26
"/home/goolnn/工程/Cangyan/src/tool/BezierCurve.cpp", "C++", 41, 0, 1, 26, 68
"/home/goolnn/工程/Cangyan/src/tool/CYFile.cpp", "C++", 105, 0, 8, 67, 180
"/home/goolnn/工程/Cangyan/src/tool/Math.cpp", "C++", 11, 0, 0, 7, 18
"/home/goolnn/工程/Cangyan/src/tool/Text.cpp", "C++", 18, 0, 0, 11, 29
"/home/goolnn/工程/Cangyan/src/window/Editor.cpp", "C++", 113, 0, 0, 57, 170
"/home/goolnn/工程/Cangyan/src/window/ImageViewer.cpp", "C++", 208, 0, 7, 130, 345
"/home/goolnn/工程/Cangyan/src/window/Loading.cpp", "C++", 7, 0, 0, 6, 13
"/home/goolnn/工程/Cangyan/src/window/New.cpp", "C++", 123, 0, 2, 65, 190
"/home/goolnn/工程/Cangyan/src/window/Window.cpp", "C++", 184, 0, 9, 89, 282
"Total", "-", 1096, 1, 37, 597, 1731
